Itération,Sync Timestamp,EstimatedX,EstimatedY,Orientation (en degrés),?distance,Rssi Set,,,,,,Timestamp,True Position index,Sync Timestamp,TrueX,TrueY,ErrorX,ErrorY
82,08-avril-2016 11:26:30.168 ,"3,850181","1,459818",-7,"0,621364", {Ml1B:-73,56WR:-86,tBfJ:-86,z6SH:-76,IKAo:-68,T0Fy:-78} , 08-avril-2016 11:26:32.564,,,,,,
83,08-avril-2016 11:26:36.019 ,"4,77402","1,371296",-4,"0,835324", {Ml1B:-72,56WR:-83,tBfJ:-86,z6SH:-73,IKAo:-71,T0Fy:-82} , 08-avril-2016 11:26:35.565,32,08-avril-2016 11:26:36.019,"4,86","0,98","0,08598","0,391296"
84,08-avril-2016 11:26:36.019 ,"5,358903","1,331192",0,"0,485834", {Ml1B:-77,56WR:-86,tBfJ:-86,z6SH:-78,IKAo:-70,T0Fy:-81} , 08-avril-2016 11:26:36.577,,,,,,
85,08-avril-2016 11:26:36.019 ,"6,336902","1,21929",-10,"0,963772", {Ml1B:-79,56WR:-87,tBfJ:-86,z6SH:-74,IKAo:-74,T0Fy:-84} , 08-avril-2016 11:26:37.592,,,,,,
86,08-avril-2016 11:26:38.702 ,"7,023007","1,149988",-11,"0,737462", {Ml1B:-67,56WR:-88,tBfJ:-87,z6SH:-74,IKAo:-73,T0Fy:-81} , 08-avril-2016 11:26:38.601,33,08-avril-2016 11:26:38.702,"6,86","0,98","0,163007","0,169988"
87,08-avril-2016 11:26:40.102 ,"8,029685","1,074041",-9,"1,065917", {Ml1B:-66,56WR:-85,tBfJ:-85,z6SH:-73,T0Fy:-76,IKAo:-79} , 08-avril-2016 11:26:39.624,34,08-avril-2016 11:26:40.102,"8,86","0,98","0,830315","0,094041"
88,08-avril-2016 11:26:40.102 ,"8,953778","0,988921",-10,"0,730247", {Ml1B:-74,56WR:-85,tBfJ:-85,z6SH:-74,IKAo:-74,T0Fy:-74} , 08-avril-2016 11:26:40.712,,,,,,
89,08-avril-2016 11:26:42.319 ,"9,85276","0,902024",-7,"1,027966", {Ml1B:-71,56WR:-89,tBfJ:-86,z6SH:-72,T0Fy:-72,IKAo:-77} , 08-avril-2016 11:26:41.720,35,08-avril-2016 11:26:42.319,"10,86","0,98","1,00724","0,077976"
90,08-avril-2016 11:26:42.319 ,"10,38789","0,827461",-10,"0,606065", {Ml1B:-69,56WR:-88,tBfJ:-82,z6SH:-68,T0Fy:-74,IKAo:-84} , 08-avril-2016 11:26:42.753,,,,,,
91,08-avril-2016 11:26:42.319 ,"11,227957","0,722838",-11,"0,74878", {Ml1B:-71,56WR:-88,tBfJ:-86,z6SH:-70,T0Fy:-74,IKAo:-80} , 08-avril-2016 11:26:43.754,,,,,,
92,08-avril-2016 11:26:44.953 ,"12,144087","0,679049",-6,"0,760187", {Ml1B:-72,56WR:-85,tBfJ:-87,z6SH:-73,T0Fy:-64,IKAo:-81} , 08-avril-2016 11:26:44.781,36,08-avril-2016 11:26:44.953,"12,86","0,98","0,715913","0,300951"
